Actual,Predicted
12.42,11.520101
24.26,23.036194
19.36,19.433014
22.89,23.801708
20.3,20.510448
17.18,17.324514
24.49,25.058744
22.21,21.893389
19.36,19.203714
20.34,20.214382
13.789999999999997,13.827327
17.03,16.995935
19.11,19.59445
24.2,24.43964
22.17,21.448593
22.47,23.098532
22.36,22.729166
10.09,9.468167
17.58,16.970722
18.43,18.53782
14.27,14.224347
21.91,22.012392
14.24,13.934627
23.22,23.689133
20.12,19.967867
19.66,19.939915
24.45,24.880066
22.02,22.920242
21.74,22.0345
19.82,20.08387
20.73,20.728006
15.019999999999998,14.749567
16.25,15.749059
20.72,21.791616
13.12,13.2829685
10.34,10.864424
20.16,20.011757
19.35,19.217962
18.79,19.23399
20.82,20.627186
10.48,9.834753
18.85,18.290586
24.17,23.4382
22.27,22.47784
23.6,23.674126
21.87,21.962519
11.39,10.614437
15.53,15.265504
20.36,20.00501
22.27,21.80727
17.82,18.073046
11.82,11.264575
12.17,12.464564
17.82,17.77016
13.719999999999999,13.158401
17.06,17.13745
9.94,9.590916
19.84,19.857164
7.779999999999999,8.248562
23.23,23.494045
14.62,13.414463
23.61,23.092497
9.96,10.639772
13.48,13.559094
23.51,23.503553
19.01,19.12361
22.09,21.85263
7.339999999999999,7.935002
18.93,19.29188
15.33,15.053214
24.49,24.058626
8.81,8.699325
20.65,18.808071
19.82,20.171955
20.52,20.287308
17.14,17.518276
7.54,7.968693
17.07,17.04831
10.44,10.339135
25.040000000000003,24.695463
8.65,8.631957
10.7,10.891405
18.45,18.255793
11.49,12.204446
21.36,21.449247
22.47,21.940832
21.58,21.246452
8.56,8.609683
17.91,17.696402
18.54,18.514605
11.69,12.584579
19.33,19.530836
19.92,19.489609
19.04,19.592442
22.81,22.828276
18.22,18.254742
21.26,21.093596
16.67,16.454538
16.62,16.384403
12.37,12.032107
20.38,20.448147
5.52,5.8446555
9.63,9.822559
16.63,16.739374
6.070000000000001,6.480537
21.82,21.81475
8.47,8.704984
19.29,18.750547
21.69,21.816334
21.12,21.326956
21.39,21.056063
22.88,23.43165
22.62,23.168781
21.68,21.961624
14.16,14.205958
11.69,11.019703
20.85,22.037205
23.48,23.90888
11.51,12.374451
21.4,22.144909
20.35,20.322395
17.84,17.615072
20.72,20.816256
11.2,12.140536
24.85,25.383905
10.24,10.93818
11.88,13.176289
22.21,21.974985
16.45,16.359028
22.45,23.233793
18.7,18.256464
20.24,19.750406
9.05,9.161295
24.02,23.695097
19.98,19.958605
22.53,22.783247
21.12,21.138004
10.44,10.469817
20.8,20.373674
11.94,12.645578
25.27,25.762934
22.48,22.389826
12.96,13.026623
22.67,23.137896
11.94,11.741001
10.14,10.842803
7.85,9.067982
16.67,16.173204
9.19,9.981306
9.26,9.255433
20.8,20.698673
16.36,16.612041
8.66,8.647264
15.029999999999998,14.130925
15.520000000000001,14.307133
14.99,14.772009
21.31,21.305532
22.81,23.018818
9.92,9.88301
10.32,10.646703
6.85,7.7242303
18.53,18.425997
24.81,25.202583
17.67,17.686424
21.04,21.107504
21.8,22.672728
21.36,21.102564
20.45,20.029612
4.53,5.5974708
19.87,20.57942
16.53,16.381039
16.18,16.253654
7.95,8.486947
18.55,18.201283
17.53,16.954914
8.52,9.831835
9.81,9.266789
8.01,8.077636
23.45,24.065453
10.28,10.403528
9.41,9.824811
11.25,10.342995
10.44,11.097986
22.69,22.842813
19.02,19.048895
7.97,8.645456
21.69,21.279844
23.93,24.107714
8.65,8.58082
19.44,20.5016
16.11,16.130606
14.910000000000002,14.178452
7.38,7.652812
17.51,17.43617
24.52,24.81759
18.28,18.297894
16.16,16.373068
5.26,6.4294386
15.16,15.159587
18.91,19.405191
20.74,20.632862
13.59,13.2049885
13.64,12.980433
9.31,9.831926
20.92,20.720764
16.15,16.706896
24.5,24.756487
19.86,20.034874
19.58,19.548517
9.37,8.725411
10.17,10.096231
11.22,10.757976
17.44,16.936268
12.43,11.829444
22.84,22.780643
23.57,24.233637
17.54,16.618591
21.62,21.414192
20.91,20.619923
7.900000000000001,8.972722
18.18,18.366148
22.36,22.415424
12.02,12.0469265
13.91,13.8277445
12.500000000000002,12.448603
11.08,10.651059
21.52,21.95604
21.75,21.644236
13.54,13.278226
9.08,9.011735
20.78,20.851763
15.54,16.533964
20.18,19.975817
24.34,25.029713
19.48,19.198673
21.9,21.030752
12.73,12.0047245
20.29,19.400621
16.24,17.477135
20.14,19.815626
9.67,10.316307
13.55,13.956915
21.43,21.222754
10.66,10.035734
21.44,22.27663
12.92,12.35989
20.43,20.659622
13.02,14.049871
13.779999999999998,13.750519
9.4,9.422945
6.93,7.449504
18.83,18.564262
15.06,15.497279
